            ID                         MFD value             Atomic Hits Map value                        Difference              Diff (MFD - MUTEXED)     Diff (ATOM_HIT_MAP - MUTEXED)



Type = EnergyDeposit

            29                39000.000000000000                39000.000000000000                               0.0                               0.0                               0.0    
            30               132000.000000000000               132000.000000000000                               0.0                               0.0                               0.0    
            31               284000.000000000000               284000.000000000000                               0.0                               0.0                               0.0    
            32               502000.000000000000               502000.000000000000                               0.0                               0.0                               0.0    
            33               214000.000000000000               214000.000000000000                               0.0                               0.0                               0.0    
            34               123000.000000000000               123000.000000000000                               0.0                               0.0                               0.0    
            35               243000.000000000000               243000.000000000000                               0.0                               0.0                               0.0    
            36               297000.000000000000               297000.000000000000                               0.0                               0.0                               0.0    
            37               344000.000000000000               344000.000000000000                               0.0                               0.0                               0.0    
            38               210000.000000000000               210000.000000000000                               0.0                               0.0                               0.0    
            39               348000.000000000000               348000.000000000000                               0.0                               0.0                               0.0    
            40               191000.000000000000               191000.000000000000                               0.0                               0.0                               0.0    
            41               238000.000000000000               238000.000000000000                               0.0                               0.0                               0.0    
            42               242000.000000000000               242000.000000000000                               0.0                               0.0                               0.0    
            43               276000.000000000000               276000.000000000000                               0.0                               0.0                               0.0    
            44               202000.000000000000               202000.000000000000                               0.0                               0.0                               0.0    
            45               101000.000000000000               101000.000000000000                               0.0                               0.0                               0.0    
            46               100000.000000000000               100000.000000000000                               0.0                               0.0                               0.0    
            47               209000.000000000000               209000.000000000000                               0.0                               0.0                               0.0    
            48                94000.000000000000                94000.000000000000                               0.0                               0.0                               0.0    
            49                44000.000000000000                44000.000000000000                               0.0                               0.0                               0.0    
            50               162000.000000000000               162000.000000000000                               0.0                               0.0                               0.0    
            51               712000.000000000000               712000.000000000000                               0.0                               0.0                               0.0    
            52              1407000.000000000000              1407000.000000000000                               0.0                               0.0                               0.0    
            53               783000.000000000000               783000.000000000000                               0.0                               0.0                               0.0    
            54               421000.000000000000               421000.000000000000                               0.0                               0.0                               0.0    
            55               856000.000000000000               856000.000000000000                               0.0                               0.0                               0.0    
            56              1112000.000000000000              1112000.000000000000                               0.0                               0.0                               0.0    
            57              1384000.000000000000              1384000.000000000000                               0.0                               0.0                               0.0    
            58               870000.000000000000               870000.000000000000                               0.0                               0.0                               0.0    
            59               463000.000000000000               463000.000000000000                               0.0                               0.0                               0.0    
            60               611000.000000000000               611000.000000000000                               0.0                               0.0                               0.0    
            61              1179000.000000000000              1179000.000000000000                               0.0                               0.0                               0.0    
            62              1263000.000000000000              1263000.000000000000                               0.0                               0.0                               0.0    
            63              1142000.000000000000              1142000.000000000000                               0.0                               0.0                               0.0    
            64               681000.000000000000               681000.000000000000                               0.0                               0.0                               0.0    
            65               707000.000000000000               707000.000000000000                               0.0                               0.0                               0.0    
            66               939000.000000000000               939000.000000000000                               0.0                               0.0                               0.0    
            67              1006000.000000000000              1006000.000000000000                               0.0                               0.0                               0.0    
            68               965000.000000000000               965000.000000000000                               0.0                               0.0                               0.0    
            69               564000.000000000000               564000.000000000000                               0.0                               0.0                               0.0    
            70               560000.000000000000               560000.000000000000                               0.0                               0.0                               0.0    
            71               935000.000000000000               935000.000000000000                               0.0                               0.0                               0.0    
            72               483000.000000000000               483000.000000000000                               0.0                               0.0                               0.0    
            73               477000.000000000000               477000.000000000000                               0.0                               0.0                               0.0    
            74               217000.000000000000               217000.000000000000                               0.0                               0.0                               0.0    
            75              3710000.000000000000              3710000.000000000000                               0.0                               0.0                               0.0    
            76              6154000.000000000000              6154000.000000000000                               0.0                               0.0                               0.0    
            77              6729000.000000000000              6729000.000000000000                               0.0                               0.0                               0.0    
            78              5908000.000000000000              5908000.000000000000                               0.0                               0.0                               0.0    
            79              3759000.000000000000              3759000.000000000000                               0.0                               0.0                               0.0    
            80              6340000.000000000000              6340000.000000000000                               0.0                               0.0                               0.0    
            81              4365000.000000000000              4365000.000000000000                               0.0                               0.0                               0.0    
            82              4434000.000000000000              4434000.000000000000                               0.0                               0.0                               0.0    
            83              4145000.000000000000              4145000.000000000000                               0.0                               0.0                               0.0    
            84              5258000.000000000000              5258000.000000000000                               0.0                               0.0                               0.0    
            85              5493000.000000000000              5493000.000000000000                               0.0                               0.0                               0.0    
            86              4385000.000000000000              4385000.000000000000                               0.0                               0.0                               0.0    
            87              4727000.000000000000              4727000.000000000000                               0.0                               0.0                               0.0    
            88              4551000.000000000000              4551000.000000000000                               0.0                               0.0                               0.0    
            89              4725000.000000000000              4725000.000000000000                               0.0                               0.0                               0.0    
            90              5939000.000000000000              5939000.000000000000                               0.0                               0.0                               0.0    
            91              4502000.000000000000              4502000.000000000000                               0.0                               0.0                               0.0    
            92              4525000.000000000000              4525000.000000000000                               0.0                               0.0                               0.0    
            93              4268000.000000000000              4268000.000000000000                               0.0                               0.0                               0.0    
            94              4949000.000000000000              4949000.000000000000                               0.0                               0.0                               0.0    
            95              4560000.000000000000              4560000.000000000000                               0.0                               0.0                               0.0    
            96              4873000.000000000000              4873000.000000000000                               0.0                               0.0                               0.0    
            97              5303000.000000000000              5303000.000000000000                               0.0                               0.0                               0.0    
            98              5227000.000000000000              5227000.000000000000                               0.0                               0.0                               0.0    
            99              4036000.000000000000              4036000.000000000000                               0.0                               0.0                               0.0    
           100             16943000.000000000000             16943000.000000000000                               0.0                               0.0                               0.0    
           101             24319000.000000000000             24319000.000000000000                               0.0                               0.0                               0.0    
           102             21027000.000000000000             21027000.000000000000                               0.0                               0.0                               0.0    
           103             21872000.000000000000             21872000.000000000000                               0.0                               0.0                               0.0    
           104             16072000.000000000000             16072000.000000000000                               0.0                               0.0                               0.0    
           105             21693000.000000000000             21693000.000000000000                               0.0                               0.0                               0.0    
           106             28560000.000000000000             28560000.000000000000                               0.0                               0.0                               0.0    
           107             30312000.000000000000             30312000.000000000000                               0.0                               0.0                               0.0    
           108             29449000.000000000000             29449000.000000000000                               0.0                               0.0                               0.0    
           109             23058000.000000000000             23058000.000000000000                               0.0                               0.0                               0.0    
           110             20875000.000000000000             20875000.000000000000                               0.0                               0.0                               0.0    
           111             28235000.000000000000             28235000.000000000000                               0.0                               0.0                               0.0    
           112             31698000.000000000000             31698000.000000000000                               0.0                               0.0                               0.0    
           113             28104000.000000000000             28104000.000000000000                               0.0                               0.0                               0.0    
           114             23244000.000000000000             23244000.000000000000                               0.0                               0.0                               0.0    
           115             19372000.000000000000             19372000.000000000000                               0.0                               0.0                               0.0    
           116             27321000.000000000000             27321000.000000000000                               0.0                               0.0                               0.0    
           117             31530000.000000000000             31530000.000000000000                               0.0                               0.0                               0.0    
           118             30510000.000000000000             30510000.000000000000                               0.0                               0.0                               0.0    
           119             20708000.000000000000             20708000.000000000000                               0.0                               0.0                               0.0    
           120             15956000.000000000000             15956000.000000000000                               0.0                               0.0                               0.0    
           121             21058000.000000000000             21058000.000000000000                               0.0                               0.0                               0.0    
           122             20961000.000000000000             20961000.000000000000                               0.0                               0.0                               0.0    
           123             22787000.000000000000             22787000.000000000000                               0.0                               0.0                               0.0    
           124             17677000.000000000000             17677000.000000000000                               0.0                               0.0                               0.0    
