! 13C range in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
1.000000	12.0876   	1.000000	11.7083   	1.000000	11.9217   	1.000000	11.9217   	1.000000	11.9217   	1.000000	0.0763443 	1.000000	0.0541536 	1.000000	0.409191  	1.000000	0.511754  	1.000000	0.368369  	
1.250000	15.2245   	1.250000	14.7464   	1.250000	15.141    	1.250000	15.141    	1.250000	15.1409   	1.250000	0.0945934 	1.250000	0.0668645 	1.250000	0.468534  	1.250000	0.576758  	1.250000	0.424573  	
1.500000	18.616    	1.500000	18.031    	1.500000	18.5988   	1.500000	18.5988   	1.500000	18.5988   	1.500000	0.114512  	1.500000	0.0814762 	1.500000	0.528451  	1.500000	0.641836  	1.500000	0.481532  	
1.750000	22.2775   	1.750000	21.5771   	1.750000	22.2983   	1.750000	22.2983   	1.750000	22.2983   	1.750000	0.136116  	1.750000	0.0976561 	1.750000	0.589632  	1.750000	0.707801  	1.750000	0.539841  	
2.000000	26.2169   	2.000000	25.3924   	2.000000	26.2361   	2.000000	26.2361   	2.000000	26.2361   	2.000000	0.159345  	2.000000	0.115073  	2.000000	0.652348  	2.000000	0.774992  	2.000000	0.599724  	
2.250000	30.4492   	2.250000	29.4913   	2.250000	30.4105   	2.250000	30.4105   	2.250000	30.4104   	2.250000	0.18418   	2.250000	0.133559  	2.250000	0.716676  	2.250000	0.843636  	2.250000	0.661255  	
2.500000	34.9569   	2.500000	33.861    	2.500000	34.8201   	2.500000	34.8201   	2.500000	34.82     	2.500000	0.210616  	2.500000	0.153022  	2.500000	0.772546  	2.500000	0.913942  	2.500000	0.714906  	
3.000000	44.3025   	3.000000	43.3747   	3.000000	44.3405   	3.000000	44.3405   	3.000000	44.3405   	3.000000	0.268288  	3.000000	0.194686  	3.000000	0.880875  	3.000000	1.04665   	3.000000	0.819108  	
3.500000	54.607    	3.500000	53.8794   	3.500000	54.7884   	3.500000	54.7884   	3.500000	54.7883   	3.500000	0.332349  	3.500000	0.239845  	3.500000	0.99915   	3.500000	1.17244   	3.500000	0.93286   	
4.000000	65.8643   	4.000000	65.3436   	4.000000	66.1539   	4.000000	66.1539   	4.000000	66.1538   	4.000000	0.40277   	4.000000	0.288383  	4.000000	1.12709   	4.000000	1.30778   	4.000000	1.05596   	
