! 11B range in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
1.250000	16.4397   	1.250000	15.8698   	1.250000	16.5993   	1.250000	16.5993   	1.250000	16.5993   	1.250000	0.108884  	1.250000	0.0803972 	1.250000	0.520904  	1.250000	0.632701  	1.250000	0.472174  	
1.500000	20.3318   	1.500000	19.6265   	1.500000	20.5453   	1.500000	20.5453   	1.500000	20.5454   	1.500000	0.133622  	1.500000	0.0989387 	1.500000	0.592071  	1.500000	0.709282  	1.500000	0.539719  	
1.750000	24.5822   	1.750000	23.7291   	1.750000	24.7924   	1.750000	24.7924   	1.750000	24.7924   	1.750000	0.160603  	1.750000	0.119487  	1.750000	0.665301  	1.750000	0.787583  	1.750000	0.609397  	
2.000000	29.1846   	2.000000	28.1713   	2.000000	29.3368   	2.000000	29.3368   	2.000000	29.3368   	2.000000	0.189776  	2.000000	0.141655  	2.000000	0.740888  	2.000000	0.867953  	2.000000	0.68145   	
2.250000	34.1275   	2.250000	32.9423   	2.250000	34.1768   	2.250000	34.1768   	2.250000	34.1768   	2.250000	0.221133  	2.250000	0.165255  	2.250000	0.819012  	2.250000	0.950632  	2.250000	0.756036  	
2.500000	39.3997   	2.500000	38.034    	2.500000	39.311    	2.500000	39.311    	2.500000	39.311    	2.500000	0.25468   	2.500000	0.190182  	2.500000	0.885981  	2.500000	1.03581   	2.500000	0.820249  	
3.000000	50.4487   	3.000000	49.1897   	3.000000	50.4575   	3.000000	50.4575   	3.000000	50.4575   	3.000000	0.328363  	3.000000	0.243791  	3.000000	1.02352   	3.000000	1.20341   	3.000000	0.952239  	
3.500000	62.7009   	3.500000	61.5983   	3.500000	62.7656   	3.500000	62.7656   	3.500000	62.7656   	3.500000	0.410834  	3.500000	0.302223  	3.500000	1.17474   	3.500000	1.36323   	3.500000	1.09738   	
4.000000	76.1431   	4.000000	75.2042   	4.000000	76.2226   	4.000000	76.2226   	4.000000	76.2226   	4.000000	0.502047  	4.000000	0.365326  	4.000000	1.33928   	4.000000	1.53601   	4.000000	1.25539   	
4.500000	90.7612   	4.500000	89.9702   	4.500000	90.8149   	4.500000	90.8149   	4.500000	90.8149   	4.500000	0.60192   	4.500000	0.432939  	4.500000	1.51683   	4.500000	1.72124   	4.500000	1.42602   	
5.000000	106.541   	5.000000	105.869   	5.000000	106.528   	5.000000	106.528   	5.000000	106.528   	5.000000	0.710347  	5.000000	0.504927  	5.000000	1.70711   	5.000000	1.91847   	5.000000	1.60904   	
5.500000	123.47    	5.500000	122.88    	5.500000	123.347   	5.500000	123.347   	5.500000	123.347   	5.500000	0.827217  	5.500000	0.581184  	5.500000	1.90984   	5.500000	2.1273    	5.500000	1.80419   	
6.000000	141.535   	6.000000	140.984   	6.000000	141.259   	6.000000	141.259   	6.000000	141.259   	6.000000	0.952421  	6.000000	0.661612  	6.000000	2.12483   	6.000000	2.34747   	6.000000	2.0113    	
6.500000	160.723   	6.500000	160.166   	6.500000	160.25    	6.500000	160.25    	6.500000	160.25    	6.500000	1.08585   	6.500000	0.74612   	6.500000	2.35185   	6.500000	2.57865   	6.500000	2.23016   	
7.000000	181.023   	7.000000	180.41    	7.000000	180.307   	7.000000	180.307   	7.000000	180.307   	7.000000	1.2274    	7.000000	0.834623  	7.000000	2.59075   	7.000000	2.82063   	7.000000	2.46062   	
7.500000	202.423   	7.500000	201.704   	7.500000	201.418   	7.500000	201.418   	7.500000	201.418   	7.500000	1.37697   	7.500000	0.927044  	7.500000	2.84133   	7.500000	3.07318   	7.500000	2.70252   	
8.000000	224.914   	8.000000	224.035   	8.000000	223.572   	8.000000	223.572   	8.000000	223.572   	8.000000	1.53448   	8.000000	1.02331   	8.000000	3.10345   	8.000000	3.33611   	8.000000	2.95571   	
8.500000	248.485   	8.500000	247.392   	8.500000	246.758   	8.500000	246.758   	8.500000	246.758   	8.500000	1.69982   	8.500000	1.12336   	8.500000	3.37698   	8.500000	3.60923   	8.500000	3.22007   	
9.000000	273.126   	9.000000	271.763   	9.000000	270.966   	9.000000	270.966   	9.000000	270.965   	9.000000	1.87293   	9.000000	1.22714   	9.000000	3.66178   	9.000000	3.89238   	9.000000	3.49548   	
9.500000	298.829   	9.500000	297.139   	9.500000	296.185   	9.500000	296.185   	9.500000	296.185   	9.500000	2.05373   	9.500000	1.33458   	9.500000	3.95773   	9.500000	4.18542   	9.500000	3.78182   	
10.000000	325.583   	10.000000	323.505   	10.000000	322.407   	10.000000	322.407   	10.000000	322.406   	10.000000	2.24214   	10.000000	1.44565   	10.000000	4.26471   	10.000000	4.4882    	10.000000	4.07898   	
11.000000	382.216   	11.000000	378.958   	11.000000	377.869   	11.000000	377.853   	11.000000	377.865   	11.000000	2.64239   	11.000000	1.67896   	11.000000	4.91197   	11.000000	5.12304   	11.000000	4.70598   	
12.000000	442.959   	12.000000	438.319   	12.000000	437.346   	12.000000	437.284   	12.000000	437.334   	12.000000	3.07422   	12.000000	1.92719   	12.000000	5.60364   	12.000000	5.79675   	12.000000	5.37657   	
13.000000	507.753   	13.000000	501.555   	13.000000	500.797   	13.000000	500.664   	13.000000	500.774   	13.000000	3.53742   	13.000000	2.1902    	13.000000	6.33936   	13.000000	6.50881   	13.000000	6.09045   	
