! 7Be range in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
33.000000	2568.82   	33.000000	2514.55   	33.000000	2548.54   	33.000000	2546.67   	33.000000	2548.49   	33.000000	23.981    	33.000000	12.9679   	33.000000	37.2099   	33.000000	35.0434   	33.000000	36.1402   	
35.000000	2851.6    	35.000000	2792.2    	35.000000	2833.01   	35.000000	2831.11   	35.000000	2832.97   	35.000000	26.7197   	35.000000	14.3415   	35.000000	41.2902   	35.000000	38.6992   	35.000000	40.1351   	
38.000000	3299.95   	38.000000	3232.92   	38.000000	3284.11   	38.000000	3282.24   	38.000000	3284.06   	38.000000	31.0514   	38.000000	16.4989   	38.000000	47.7554   	38.000000	44.4642   	38.000000	46.4719   	
41.000000	3776.76   	41.000000	3702.26   	41.000000	3763.93   	41.000000	3762.24   	41.000000	3763.91   	41.000000	35.6484   	41.000000	18.7703   	41.000000	54.6261   	41.000000	50.5588   	41.000000	53.2149   	
44.000000	4281.47   	44.000000	4199.7    	44.000000	4272      	44.000000	4270.57   	44.000000	4271.98   	44.000000	40.5062   	44.000000	21.1548   	44.000000	61.8935   	44.000000	56.9749   	44.000000	60.3563   	
47.000000	4813.56   	47.000000	4724.74   	47.000000	4807.79   	47.000000	4806.72   	47.000000	4807.76   	47.000000	45.6204   	47.000000	23.6487   	47.000000	69.5493   	47.000000	63.705    	47.000000	67.8891   	
50.000000	5372.53   	50.000000	5276.93   	50.000000	5370.85   	50.000000	5370.23   	50.000000	5370.78   	50.000000	50.9861   	50.000000	26.2502   	50.000000	77.586    	50.000000	70.7421   	50.000000	75.8066   	
55.000000	6362.62   	55.000000	6256.32   	55.000000	6368.56   	55.000000	6368.95   	55.000000	6368.46   	55.000000	60.4748   	55.000000	30.8196   	55.000000	91.8065   	55.000000	83.1356   	55.000000	89.8401   	
60.000000	7424.07   	60.000000	7307.86   	60.000000	7438.59   	60.000000	7440.41   	60.000000	7438.58   	60.000000	70.6266   	60.000000	35.6735   	60.000000	107.032   	60.000000	96.3363   	60.000000	104.897   	
65.000000	8555.01   	65.000000	8429.7    	65.000000	8579.38   	65.000000	8582.77   	65.000000	8579.32   	65.000000	81.42     	65.000000	40.7991   	65.000000	123.233   	65.000000	110.319   	65.000000	120.952   	
